"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,33128.00,136.00,102.00,42.00,2394.00,480.00,182.00,159.00,"US Airways Inc.","US","ABE","CLT",6,"602",1,1993,4,11,1,"F",
0.00,1.00,26500.00,103.00,94.00,0.00,200.00,67.00,38.00,21.00,"US Airways Inc.","US","ABE","EWR",6,"640",1,1993,4,11,1,"F",
0.00,1.00,27780.00,110.00,5.00,0.00,0.00,906.00,165.00,158.00,"US Airways Inc.","US","ABE","MCO",6,"620",1,1993,4,11,2,"F",
0.00,5.00,159000.00,640.00,274.00,96.00,11609.00,654.00,612.00,545.00,"United Air Lines Inc.","UA","ABE","ORD",6,"619",1,1993,4,11,2,"F",
0.00,1.00,23850.00,98.00,86.00,175.00,0.00,253.00,68.00,52.00,"US Airways Inc.","US","ABE","PIT",6,"603",1,1993,4,11,1,"F",
0.00,1.00,32824.00,128.00,57.00,0.00,115.00,1161.00,154.00,138.00,"US Airways Inc.","US","ABQ","IND",6,"619",1,1993,4,11,3,"F",
0.00,1.00,38110.00,148.00,22.00,0.00,418.00,487.00,78.00,66.00,"America West Airlines Inc.","HP","ABQ","LAS",6,"694",1,1993,4,11,1,"F",
0.00,1.00,37638.00,146.00,146.00,415.00,10.00,328.00,65.00,57.00,"US Airways Inc.","US","ABQ","PHX",6,"617",1,1993,4,11,1,"F",
0.00,1.00,26665.00,130.00,122.00,0.00,0.00,328.00,63.00,50.00,"Continental Air Lines Inc.","CO","ABQ","PHX",6,"619",1,1993,4,11,1,"F",
0.00,2.00,76220.00,296.00,241.00,92.00,289.00,328.00,138.00,114.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"694",1,1993,4,11,1,"F",
0.00,3.00,78465.00,315.00,134.00,1392.00,1063.00,492.00,268.00,236.00,"Delta Air Lines Inc.","DL","ABQ","SLC",6,"620",1,1993,4,11,1,"F",
0.00,1.00,24050.00,100.00,100.00,229.00,1202.00,491.00,82.00,66.00,"Northwest Airlines Inc.","NW","ABR","BIL",6,"640",1,1993,4,11,1,"F",
0.00,1.00,6163.00,30.00,28.00,0.00,0.00,89.00,50.00,27.00,"ExpressJet Airlines LLC","EV","ACT","DFW",4,"461",1,1993,4,11,1,"F",
0.00,1.00,3180.00,15.00,4.00,0.00,0.00,45.00,35.00,28.00,"ExpressJet Airlines LLC","EV","ACT","ILE",4,"464",1,1993,4,11,1,"F",
0.00,1.00,27780.00,110.00,28.00,0.00,0.00,309.00,66.00,51.00,"US Airways Inc.","US","ACY","PIT",6,"620",1,1993,4,11,1,"F",
0.00,4.00,87964.00,264.00,46.00,12058.00,6428.00,616.00,360.00,306.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",7,"711",3,1993,4,11,2,"F",
0.00,1.00,24000.00,70.00,30.00,1421.00,5.00,252.00,44.00,38.00,"Markair Inc.","BF","ADQ","ANC",6,"620",3,1993,4,11,1,"F",
0.00,1.00,29560.00,109.00,20.00,0.00,1.00,252.00,48.00,38.00,"Markair Inc.","BF","ADQ","ANC",6,"621",1,1993,4,11,1,"F",
0.00,2.00,55902.00,128.00,38.00,2488.00,1638.00,252.00,96.00,81.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1993,4,11,1,"F",
0.00,2.00,77210.00,286.00,33.00,530.00,1519.00,252.00,111.00,81.00,"Alaska Airlines Inc.","AS","ADQ","ANC",7,"715",1,1993,4,11,1,"F",
0.00,1.00,37638.00,146.00,49.00,0.00,0.00,140.00,44.00,27.00,"US Airways Inc.","US","AGS","CLT",6,"617",1,1993,4,11,1,"F",
0.00,11.00,331412.00,316.00,183.00,2182.00,7796.00,289.00,562.00,463.00,"Alaska Airlines Inc.","AS","AKN","ANC",6,"621",3,1993,4,11,1,"F",
0.00,2.00,55600.00,78.00,13.00,0.00,455.00,289.00,125.00,113.00,"Markair Inc.","BF","AKN","ANC",6,"621",3,1993,4,11,1,"F",
0.00,1.00,29560.00,109.00,42.00,480.00,1126.00,71.00,30.00,20.00,"Markair Inc.","BF","AKN","DLG",6,"621",1,1993,4,11,1,"F",
0.00,1.00,23250.00,98.00,15.00,0.00,124.00,951.00,178.00,166.00,"US Airways Inc.","US","ALB","JAX",6,"603",1,1993,4,11,2,"F",
0.00,1.00,8000.00,34.00,18.00,0.00,0.00,136.00,45.00,37.00,"Business Express","HQ","ALB","LGA",4,"456",1,1993,4,11,1,"F",
0.00,1.00,26040.00,108.00,107.00,0.00,12.00,723.00,129.00,117.00,"United Air Lines Inc.","UA","ALB","ORD",6,"616",1,1993,4,11,2,"F",
0.00,1.00,37638.00,146.00,37.00,71.00,0.00,212.00,55.00,44.00,"US Airways Inc.","US","ALB","PHL",6,"617",1,1993,4,11,1,"F",
0.00,1.00,31800.00,128.00,108.00,0.00,350.00,187.00,45.00,33.00,"United Air Lines Inc.","UA","ALB","PWM",6,"619",1,1993,4,11,1,"F",
0.00,1.00,23000.00,110.00,10.00,278.00,0.00,544.00,109.00,98.00,"US Airways Inc.","US","ALB","RDU",6,"620",1,1993,4,11,2,"F",
0.00,1.00,29560.00,109.00,14.00,0.00,0.00,252.00,75.00,53.00,"Markair Inc.","BF","ANC","ADQ",6,"621",1,1993,4,11,1,"F",
0.00,2.00,55902.00,128.00,38.00,1449.00,3440.00,252.00,97.00,83.00,"Alaska Airlines Inc.","AS","ANC","ADQ",6,"621",3,1993,4,11,1,"F",
0.00,2.00,77210.00,286.00,24.00,699.00,329.00,252.00,118.00,79.00,"Alaska Airlines Inc.","AS","ANC","ADQ",7,"715",1,1993,4,11,1,"F",
0.00,1.00,30305.00,26.00,1.00,1959.00,7005.00,289.00,62.00,46.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"621",3,1993,4,11,1,"F",
0.00,1.00,29560.00,109.00,73.00,24.00,1160.00,289.00,74.00,60.00,"Markair Inc.","BF","ANC","AKN",6,"621",1,1993,4,11,1,"F",
0.00,2.00,55600.00,78.00,0.00,0.00,0.00,0.00,221.00,192.00,"Markair Inc.","BF","ANC","ANC",6,"621",3,1993,4,11,1,"F",
0.00,10.00,306024.00,1090.00,515.00,1491.00,18082.00,399.00,718.00,627.00,"Markair Inc.","BF","ANC","BET",6,"621",1,1993,4,11,1,"F",
0.00,61.00,1785351.00,2278.00,1364.00,146146.00,803422.00,399.00,4922.00,4003.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"621",3,1993,4,11,1,"F",
0.00,2.00,77210.00,286.00,18.00,3601.00,13164.00,399.00,159.00,123.00,"Alaska Airlines Inc.","AS","ANC","BET",7,"715",1,1993,4,11,1,"F",
0.00,8.00,134638.00,506.00,96.00,14006.00,17338.00,621.00,1158.00,1074.00,"Reeve Aleutian Airways Inc.","RV","ANC","CDB",5,"550",3,1993,4,11,2,"F",
0.00,3.00,80310.00,333.00,156.00,4592.00,3880.00,160.00,148.00,103.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"621",1,1993,4,11,1,"F",
0.00,10.00,301107.00,290.00,144.00,41849.00,137106.00,329.00,695.00,548.00,"Alaska Airlines Inc.","AS","ANC","DLG",6,"621",3,1993,4,11,1,"F",
0.00,27.00,758044.00,1632.00,683.00,80395.00,29410.00,792.00,3753.00,3339.00,"Alaska Airlines Inc.","AS","ANC","DUT",6,"621",3,1993,4,11,2,"F",
